category,Positive results
Fri May 01 2020,9.5
Sat May 02 2020,9.4
Sun May 03 2020,9.6
Mon May 04 2020,9.7
Tue May 05 2020,9.6
Wed May 06 2020,8.8
Thu May 07 2020,8.9
Fri May 08 2020,8.7
Sat May 09 2020,8.5
Sun May 10 2020,8.2
Mon May 11 2020,8.1
Tue May 12 2020,8.1
Wed May 13 2020,8.4
Thu May 14 2020,8.2
Fri May 15 2020,8.5
Sat May 16 2020,9
Sun May 17 2020,9.2
Mon May 18 2020,9.9
Tue May 19 2020,10.1
Wed May 20 2020,10.4
Thu May 21 2020,10.5
Fri May 22 2020,9.7
Sat May 23 2020,9.3
Sun May 24 2020,8.9
Mon May 25 2020,8.2
Tue May 26 2020,7.4
Wed May 27 2020,7
Thu May 28 2020,6.7
Fri May 29 2020,6.5
Sat May 30 2020,6.1
Sun May 31 2020,5.8
Mon Jun 01 2020,5.8
Tue Jun 02 2020,5.5
Wed Jun 03 2020,5
Thu Jun 04 2020,4.7
Fri Jun 05 2020,4.4
Sat Jun 06 2020,4.3
Sun Jun 07 2020,4.2
Mon Jun 08 2020,3.7
Tue Jun 09 2020,3.4
Wed Jun 10 2020,3.2
Thu Jun 11 2020,3.1
Fri Jun 12 2020,2.9
Sat Jun 13 2020,2.9
Sun Jun 14 2020,2.8
Mon Jun 15 2020,2.7
Tue Jun 16 2020,2.6
Wed Jun 17 2020,2.6
Thu Jun 18 2020,2.4
Fri Jun 19 2020,2.3
Sat Jun 20 2020,2.2
Sun Jun 21 2020,2
Mon Jun 22 2020,1.9
Tue Jun 23 2020,1.9
Wed Jun 24 2020,1.8
Thu Jun 25 2020,1.7
Fri Jun 26 2020,1.7
Sat Jun 27 2020,1.6
Sun Jun 28 2020,1.6
Mon Jun 29 2020,1.6
Tue Jun 30 2020,1.6
Wed Jul 01 2020,1.5
Thu Jul 02 2020,1.5
Fri Jul 03 2020,1.4
Sat Jul 04 2020,1.4
Sun Jul 05 2020,1.4
Mon Jul 06 2020,1.3
Tue Jul 07 2020,1.1
Wed Jul 08 2020,1.1
Thu Jul 09 2020,1.1
Fri Jul 10 2020,1
Sat Jul 11 2020,1
Sun Jul 12 2020,1
Mon Jul 13 2020,1
Tue Jul 14 2020,1
Wed Jul 15 2020,0.9
Thu Jul 16 2020,0.9
Fri Jul 17 2020,0.9
Sat Jul 18 2020,0.9
Sun Jul 19 2020,0.9
Mon Jul 20 2020,0.8
Tue Jul 21 2020,0.8
Wed Jul 22 2020,0.7
Thu Jul 23 2020,0.7
Fri Jul 24 2020,0.6
Sat Jul 25 2020,0.6
Sun Jul 26 2020,0.6
Mon Jul 27 2020,0.6
Tue Jul 28 2020,0.5
Wed Jul 29 2020,0.5
Thu Jul 30 2020,0.5
Fri Jul 31 2020,0.4
Sat Aug 01 2020,0.4
Sun Aug 02 2020,0.5
Mon Aug 03 2020,0.5
Tue Aug 04 2020,0.5
Wed Aug 05 2020,0.5
Thu Aug 06 2020,0.5
Fri Aug 07 2020,0.5
Sat Aug 08 2020,0.5
Sun Aug 09 2020,0.5
Mon Aug 10 2020,0.5
Tue Aug 11 2020,0.5
Wed Aug 12 2020,0.5
Thu Aug 13 2020,0.4
Fri Aug 14 2020,0.4
Sat Aug 15 2020,0.4
Sun Aug 16 2020,0.5
Mon Aug 17 2020,0.5
Tue Aug 18 2020,0.5
Wed Aug 19 2020,0.5
Thu Aug 20 2020,0.5
Fri Aug 21 2020,0.5
Sat Aug 22 2020,0.5
Sun Aug 23 2020,0.5
Mon Aug 24 2020,0.5
Tue Aug 25 2020,0.6
Wed Aug 26 2020,0.6
Thu Aug 27 2020,0.7
Fri Aug 28 2020,0.7
Sat Aug 29 2020,0.7
Sun Aug 30 2020,0.7
Mon Aug 31 2020,0.7
Tue Sep 01 2020,0.7
Wed Sep 02 2020,0.8
Thu Sep 03 2020,0.8
Fri Sep 04 2020,0.8
Sat Sep 05 2020,0.9
Sun Sep 06 2020,0.9
Mon Sep 07 2020,1
Tue Sep 08 2020,1.1
Wed Sep 09 2020,1.1
Thu Sep 10 2020,1.1
Fri Sep 11 2020,1.2
Sat Sep 12 2020,1.3
Sun Sep 13 2020,1.3
Mon Sep 14 2020,1.3
Tue Sep 15 2020,1.4
Wed Sep 16 2020,1.5
Thu Sep 17 2020,1.6
Fri Sep 18 2020,1.8
Sat Sep 19 2020,1.8
Sun Sep 20 2020,1.8
Mon Sep 21 2020,1.9
Tue Sep 22 2020,2.1
Wed Sep 23 2020,2.2
Thu Sep 24 2020,2.3
Fri Sep 25 2020,2.4
Sat Sep 26 2020,2.7
Sun Sep 27 2020,2.8
Mon Sep 28 2020,2.9
Tue Sep 29 2020,3
Wed Sep 30 2020,3.1
Thu Oct 01 2020,3
Fri Oct 02 2020,3
Sat Oct 03 2020,2.9
Sun Oct 04 2020,2.9
Mon Oct 05 2020,2.8
Tue Oct 06 2020,2.7
Wed Oct 07 2020,2.8
Thu Oct 08 2020,2.8
Fri Oct 09 2020,2.9
Sat Oct 10 2020,3
Sun Oct 11 2020,3.2
Mon Oct 12 2020,3.5
Tue Oct 13 2020,3.7
Wed Oct 14 2020,3.8
Thu Oct 15 2020,3.9
Fri Oct 16 2020,4
Sat Oct 17 2020,4.2
Sun Oct 18 2020,4.2
Mon Oct 19 2020,4.1
Tue Oct 20 2020,4.2
Wed Oct 21 2020,4.4
Thu Oct 22 2020,4.5
Fri Oct 23 2020,4.6
Sat Oct 24 2020,4.6
Sun Oct 25 2020,4.6
Mon Oct 26 2020,4.6
Tue Oct 27 2020,4.6
Wed Oct 28 2020,4.5
Thu Oct 29 2020,4.7
Fri Oct 30 2020,4.6
Sat Oct 31 2020,4.8
Sun Nov 01 2020,4.8
Mon Nov 02 2020,4.9
Tue Nov 03 2020,5.1
Wed Nov 04 2020,5.3
Thu Nov 05 2020,5.3
Fri Nov 06 2020,5.5
Sat Nov 07 2020,5.5
Sun Nov 08 2020,5.8
Mon Nov 09 2020,5.8
